id,title,release_date,overview,vote_average,poster_path
447273,Snow White,2025-03-19,"A princess joins forces with seven dwarfs to liberate her kingdom from her cruel stepmother, the Evil Queen.",4.1,/xWWg47tTfparvjK0WJNX4xL8lW2.jpg
970947,The Shrouds,2025-03-20,"Inconsolable since the death of his wife, Karsh, a prominent businessman, invents a revolutionary and controversial technology that enables the living to monitor their dear departed in their shrouds. One night, multiple graves, including that of Karsh’s wife, are desecrated, and he sets out to track down the perpetrators.",7.7,/2drOuzftQlkhsuHRPUaARmzCGQP.jpg
1149463,Magma,2025-03-19,"Katia Reiter directs the Guadeloupe Volcano Observatory. A passionate volcanologist,  she’s waved goodbye to the idea of one day fulfilling her professional dream of managing a major eruption. But she hadn’t appreciated the unpredictable nature of the Soufrière... or of young volcanologist Aimé Lubin.",5.5,/gblm8Nip5NSDL8BK6mjuQB6xY8e.jpg
1266809,The Safe House,2025-03-19,"An eccentric family portrait set during the May 1968 protests in Paris. A nine-year-old boy stays with his grandparents and uncles while his parents protest. When an illustrious guest seeks refuge in the apartment, the family’s dynamics change.",6.3,/r9xf19feljoQSQrTFmcrikID4Kq.jpg
1328767,Argoat,2025-03-19,,8.0,/A5Ct2Ndped8jMpltMtPUxnBARvH.jpg
1107215,"My Mom, God and Sylvie Vartan",2025-03-19,"In 1963, Esther gives birth to Roland, the youngest of a large family. Roland is born with a club foot that prevents him from standing. Against everyone's advice, she promises her son that he will walk like the others and that he will have a fabulous life. From then on, Esther will do everything in her power to keep this promise. Through decades of trials and miracles of life, this film is the story of a true, funny and moving story, that of an incredible destiny and the greatest love there is: that of a mother for her child.",5.6,/sIYUhbkjgedkYuiQ9MW3fzyc7Gf.jpg
1235619,Les Bodin’s partent en vrille,2025-03-19,,8.0,/tRuZUbucePOXsBgkGB5oSTzTYzi.jpg
1432534,Carmen & Bolude,2025-03-19,"Best friends Carmen and Bolude must travel from NYC to Sydney, Australia, where they have ten days to collect 100 'welcomes' so that Bolude's traditional Nigerian father will agree to let her marry an Australian.",6.0,/tsWstW00hFHNaRxqROaJd7VDiXp.jpg
1425366,Witch,2025-03-19,"Danish author and self-proclaimed witch Andrea Hejlskov invites us into her personal universe of divination, spirituality and nature motifs from Nordic mythology. After 10 years in the wilderness, she finds herself in the middle of the crisis of her life.",0.0,/2yJbK0JqsNLXVHkW6qKUrDr0I9j.jpg
1441967,The Ox Road,2025-03-19,"Prince Joachim and author Steffen Jacobsen are on a hike through Jutland, bringing with them their own life stories. A beautiful nature film with a words of wisdom along the way.",7.2,
1000881,Dead Man's Boots,2025-03-19,"One evening, Prosper, a loser Uber driver who still lives with his mother, picks up a dying man who has just been shot. Freaked out, Prosper gets rid of the body but not before stealing his pair of crocodile boots. As he slips them on, Prosper finds himself inhabited by the spirit of the deceased: King - a respected gangster feared by all. Split between these two opposing personalities, Prosper and King, united in one body, investigate to unmask King's killer.",6.5,/jh2jVf6L1REXcvvlGdqwFoYGdqE.jpg
1439004,L'échappée belle,2025-03-19,,0.0,/3DWbq68yv17gqQsTHEm8YMJRfOj.jpg
1018964,I Saw Three Black Lights,2025-03-19,"A wise old man embarks on his final journey, entering the Colombian jungle to find a place to die. But the paramilitary soldiers who control the area endanger his peaceful transition to the realm of the dead.",0.0,/uslJnaz5cOdPvdsvMr7o2ZpMwBL.jpg
1393191,"The Gardener, the Buddhist & the Spy",2025-03-19,"The Gardener, the Buddhist & the Spy is a gripping story about power struggle, failure, and the delicate balance between good and bad.",0.0,/nPGbKjARq6g1ely913ZugBfzxhC.jpg
1415669,Sanatorium,2025-03-19,"Despite a war raging close by, mud treatments and electroshock therapies continue at Kuyalnik Sanatorium, an enormous 1970s brutalist building on the shores of Odesa, where a small group search for love, healing, and happiness.",0.0,/w1BW9WY08A1vW8quAHsGOXZ5ZL1.jpg
1418780,The First Soul : Song Written Again,2025-03-19,,0.0,/54gbLstKHuJ6XzxBiMlMfGjKMTf.jpg
1425373,The Golden Spurtle,2025-03-19,"In a quaint Scottish village in the Highlands, contenders from around the globe gather to compete for the title of World Porridge Champion armed only with oats, salt and water. As the ailing Porridge Chieftain's tenure ends, he embarks on a mission to find a successor. Amidst intense rivalries and the charm of eccentric locals, this documentary delves into the legacy of the village and unveils a captivating culinary spectacle.",0.0,/aCpSUhDhvl2OAeGjwQIpdaufxWl.jpg
1425370,The Castle,2025-03-19,"In an isolated neighborhood of Palermo, three kids turn an abandoned building into a secret shelter. Here they can escape the violence of the outside world and share their dreams.",0.0,/xSLhU5fGom6ahUBQHUVyRShTF5i.jpg
1432098,Women's Gukgeuk: Enduring on the Edge of Time,2025-03-19,,0.0,/oS54iVHVgkJeMI1fPd7R9DDOsH2.jpg
1434009,We Live Here,2025-03-19,"The film takes place in the desolate Kazakh steppe, on the grounds of a former nuclear testing site, where two ecologists conduct research to identify radioactive areas unfit for habitation. Nearby, an eyewitness to the nuclear tests writes down his personal memories, while his son struggles to save his sick daughter. Through the intimate story of three generations of one family, the film reflects on humanity's collective history and the dire situation facing our future. The steppe serves as a metaphor for our planet, now perilously close to becoming a vast nuclear wasteland.",0.0,/uXhG2CGyP2hIUXoD7Yh0sl5uXft.jpg
